Game Title,Console,Price
Turmoil [Zellers],PS,68.99
Tutankham,PS,29.08
Universal Chaos,PS,132.45
Up 'n Down,PS,505.34
Vanguard,PS,11.20
Venture [Atari],PS,12.41
Venture [Coleco],PS,19.28
Video Checkers,PS,19.68
Video Chess [Atari],PS,20.02
Video Chess [Sears],PS,118.84
Video Jogger,PS,0.00
Video Life,PS,0.00
Video Olympics,PS,17.49
Video Pinball,PS,16.56
Video Reflex,PS,0.00
Video Touch Pad,PS,0.00
Vulture Attack,PS,903.19
Wabbit,PS,30.54
Wall Ball,PS,99.05
Wall Defender,PS,137.10
Warlords [Atari],PS,18.20
Warlords [Sears],PS,31.44
Warplock,PS,22.14
Winter Games,PS,14.03
Wizard of Wor,PS,24.26
Word Zapper,PS,12.73
Worm War I,PS,35.10
X-man,PS,807.66
Xenophobe,PS,30.55
Yars' Revenge [Atari] [Picture Label],PS,21.01
Yars' Revenge [Atari] [Red Label],PS,62.84
Yars' Revenge [Sears],PS,29.99
Z-Tack,PS,120.00
Zaxxon,PS,26.52
10-Yard Fight,PS,44.35
10-Yard Fight [5 Screw],PS,176.44
1942,PS,71.80
1942 [5 Screw],PS,82.17
1943: The Battle of Midway,PS,50.37
3-D World Runner,PS,92.67
3-D World Runner [5 Screw],PS,0.00
6 in 1: Caltron,PS,367.02
6 in 1: Myriad,PS,"2,799.99"
720,PS,32.31
8 Eyes,PS,49.06
AVS [RetroUSB],PS,229.65
Abadox: The Deadly Inner War,PS,53.98
Action 52,PS,557.52
Addams Family,PS,50.04
Addams Family: Pugsley's Scavenger Hunt,PS,132.30
Advanced Dungeons & Dragons: Dragon Strike,PS,117.71
Advanced Dungeons & Dragons: Heroes of the Lance,PS,34.56
Advanced Dungeons & Dragons: Hillsfar,PS,186.76
Advanced Dungeons & Dragons: Pool of Radiance,PS,95.81
Adventure Island,PS,38.24
Adventure Island 3,PS,146.53
Adventure Island II,PS,58.45
Adventures of Bayou Billy,PS,27.87
Adventures of Dino Riki,PS,32.67
Adventures of Gilligan's Island,PS,85.12
Adventures of Lolo,PS,46.91
Adventures of Lolo 2,PS,70.24
Adventures of Lolo 3,PS,99.69
Adventures of Rad Gravity,PS,64.07
Adventures of Rocky and Bullwinkle And Friends,PS,55.56
Adventures of Tom Sawyer,PS,46.30
After Burner,PS,33.89
Air Fortress,PS,29.34
Airwolf,PS,32.91
