Nintendo NES Game Title,Nintendo NES Game Price
Snake Rattle n Roll,26.33
Snake's Revenge,95.96
Snoopy's Silly Sports Spectacular,21.06
Snow Brothers,404.38
Soccer,98.51
Soccer [5 Screw],155.51
Solar Jetman: Hunt for the Golden Warpship,29.95
Solitaire,109.02
Solomon's Key,74.98
Solomon's Key [5 Screw],60.13
Solstice: The Quest for the Staff of Demnos,21.30
Space Shuttle Project,93.79
Spelunker,59.46
Spelunker [5 Screw],141.72
Spider-Man: Return of the Sinister Six,49.62
Spiritual Warfare,38.22
Spot: The Videogame!,43.59
Spy Hunter,25.29
Spy Hunter [5 Screw],34.40
Spy vs. Spy,26.91
Sqoon,798.91
Sqoon [5 Screw],"1,023.17"
Stack-Up,438.61
Stadium Events,"42,693.93"
Stadium Events [5 Screw],0.00
Stadium Events [PAL],922.04
Stanley: The Search for Dr. Livingston,64.06
Star Force,33.49
Star Force [5 Screw],0.00
Star Soldier,25.71
Star Trek 25th Anniversary,43.72
Star Trek: The Next Generation,91.42
Star Tropics,37.20
Star Tropics II: Zoda's Revenge,42.23
Star Voyager,22.11
Star Voyager [5 Screw],23.90
Star Wars,47.89
Star Wars: The Empire Strikes Back,62.81
Starship Hector,50.57
Stealth ATF,22.56
Stinger,85.22
Stinger [5 Screw],72.15
Street Cop,50.05
Street Fighter 2010: The Final Fight,72.26
Strider,47.00
Stunt Kids,74.62
Sunday Funday: The Ride,227.52
Super C,76.44
Super Cars,68.02
Super Dodge Ball,57.47
Super Glove Ball,19.26
Super Jeopardy!,16.57
Super Mario Bros.,112.67
Super Mario Bros. / Duck Hunt,39.99
Super Mario Bros. / Duck Hunt / World Class Track Meet,32.85
Super Mario Bros. / Tetris / Nintendo World Cup [PAL],0.00
Super Mario Bros. 2,60.63
Super Mario Bros. 3,40.71
Super Mario Bros. 3 [Challenge Set Version],40.51
Super Mario Bros. [5 Screw],218.25
Super Pitfall,32.67
Super Pitfall [5 Screw],37.99
Super Spike V'Ball,26.48
Super Spike V'Ball / Nintendo World Cup,23.90
Super Sprint,23.23
Super Spy Hunter,157.07
Super Team Games,19.90
Super Turrican [PAL],122.40
Superman,82.50
Swamp Thing,400.20
Sword Master,408.25
Swords and Serpents,25.99
T & C Surf Designs: Thrilla's Surfari,91.22
T & C Surf Designs: Wood & Water Rage,36.73
T2 Terminator 2: Judgment Day,39.82
Taboo: The Sixth Sense,24.42
Tag Team Wrestling,23.08
Tag Team Wrestling [5 Screw],76.19
Tagin' Dragon,82.28
"TaleSpin, Disney's",69.93
Target: Renegade,38.48
Tecmo Baseball,20.18
Tecmo Bowl,26.55
Tecmo Cup Soccer Game,123.35
Tecmo NBA Basketball,22.67
Tecmo Super Bowl,54.05
Tecmo World Cup Soccer [PAL],0.00
Tecmo World Wrestling,33.26
Teenage Mutant Ninja Turtles,53.93
Teenage Mutant Ninja Turtles II: The Arcade Game,82.81
Teenage Mutant Ninja Turtles III: The Manhattan Project,155.00
Teenage Mutant Ninja Turtles: Tournament Fighters,486.36
Tengen Tetris,163.82
Tennis,40.78
Tennis [5 Screw],88.14
Terminator,85.56
Terra Cresta,83.30
Tetris,25.57
Tetris 2,17.77
Three Stooges,32.20
Thunder and Lightning,42.39
Thunderbirds,51.40
Thundercade,34.35
Tiger-Heli,31.33
Tiger-Heli [5 Screw],34.99
Tiles of Fate,38.00
Time Lord,33.93
Times of Lore,181.34
Tiny Toon Adventures,56.91
Tiny Toon Adventures 2: Trouble in Wackyland,45.17
Tiny Toon Adventures Cartoon Workshop,30.85
To The Earth,23.92
Toki,84.72
Tom & Jerry: The Ultimate Game of Cat and Mouse!,59.61
Tombs & Treasure,89.86
Toobin',53.84
Top Gun,24.61
Top Gun [5 Screw],41.30
Top Gun: The Second Mission,18.39
"Top Players' Tennis, Chris Evert & Ivan Lendl in",18.22
Total Recall,35.32
Totally Rad,67.06
Touchdown Fever,31.85
Toxic Crusaders,228.64
Track & Field,37.19
Track & Field II,19.65
Track & Field [5 Screw],93.01
Treasure Master,60.10
Trog!,58.47
Trojan,61.74
Trojan [5 Screw],89.49
Trolls in Crazyland [PAL],447.89
Trolls on Treasure Island,64.61
Twin Cobra,34.98
Twin Eagle,35.19
U-Force,49.32
Ufouria: The Saga [PAL],0.00
Ultima: Exodus,29.84
Ultima: Quest of the Avatar,45.40
Ultima: Warriors of Destiny,119.66
Ultimate Air Combat,53.81
Ultimate Basketball,17.97
Ultimate League Soccer,53.14
Ultimate Stuntman,34.28
Uncanny X-Men,52.40
Uncharted Waters,122.70
Uninvited,143.49
Untouchables,48.48
Untouchables [Blue Label],106.48
Urban Champion,153.49
Urban Champion [5 Screw],141.11
Vegas Dream,15.50
Venice Beach Volleyball,41.18
Vice: Project Doom,114.89
Videomation,30.01
Vindicators,25.82
Volleyball,140.76
Volleyball [5 Screw],97.98
WCW: World Championship Wrestling,34.32
WWF King of the Ring,59.34
WWF WrestleMania,34.73
WWF WrestleMania Challenge,30.65
WWF Wrestlemania Steel Cage Challenge,37.66
Wacky Races,752.64
Wall Street Kid,26.29
Wally Bear and the No! Gang,105.29
Wario's Woods,56.21
