Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Price,2600,Gen,N64,NES,PS,SAT,SCD,SNES,Action,Adventure,Fighting,Misc,Platform,Puzzle,Racing,Role-Playing,Shooter,Simulation,Sports,Strategy,Price_bin_custom_range,Price_bin_custom_label
1997,280000,170000,0,10000,470000,31,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"(20, 40]",3
1998,1870000,1130000,550000,100000,3650000,121,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"(80, 140]",5
2000,820000,360000,250000,60000,1490000,118,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"(80, 140]",5
1999,250000,60000,0,0,310000,18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"(10, 20]",2
2000,70000,20000,0,0,90000,69,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"(40, 80]",4
1998,260000,60000,0,0,330000,43,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"(40, 80]",4
1999,310000,70000,0,0,390000,43,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"(40, 80]",4
1999,400000,200000,0,20000,620000,54,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"(40, 80]",4
1998,20000,10000,0,0,30000,106,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"(80, 140]",5
1998,110000,30000,0,0,140000,22,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"(20, 40]",3
1997,390000,90000,170000,60000,710000,67,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"(40, 80]",4
2000,40000,10000,0,0,50000,96,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"(80, 140]",5
1998,160000,40000,0,0,200000,66,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"(40, 80]",4
1997,500000,200000,310000,30000,1040000,80,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"(40, 80]",4
1998,270000,60000,80000,50000,470000,78,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"(40, 80]",4
1999,50000,10000,0,0,60000,68,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"(40, 80]",4
1998,130000,30000,0,0,160000,100,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"(80, 140]",5
1998,50000,10000,0,0,60000,77,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"(40, 80]",4
1997,60000,20000,0,0,80000,41,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"(40, 80]",4
1999,130000,30000,0,0,160000,33,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"(20, 40]",3
1999,440000,100000,40000,50000,640000,71,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"(40, 80]",4
1997,90000,20000,0,0,110000,124,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"(80, 140]",5
1999,20000,10000,0,0,30000,113,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"(80, 140]",5
1997,90000,20000,0,0,110000,29,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"(20, 40]",3
1999,220000,50000,0,0,270000,24,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"(20, 40]",3
2000,170000,40000,0,0,210000,102,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"(80, 140]",5
1996,1690000,40000,0,10000,1740000,55,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"(40, 80]",4
1998,590000,40000,0,10000,640000,45,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"(40, 80]",4
2000,50000,10000,0,0,60000,48,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"(40, 80]",4
1997,120000,30000,0,0,150000,28,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"(20, 40]",3
1998,30000,10000,0,0,40000,89,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"(80, 140]",5
1999,130000,30000,0,0,160000,63,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"(40, 80]",4
1997,2910000,990000,890000,100000,4880000,57,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"(40, 80]",4
2000,160000,40000,0,0,200000,61,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"(40, 80]",4
1999,3330000,790000,1090000,60000,5270000,96,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"(80, 140]",5
1997,380000,80000,0,10000,470000,99,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"(80, 140]",5
2001,340000,70000,0,0,420000,73,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"(40, 80]",4
1997,40000,10000,0,0,50000,112,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"(80, 140]",5
1997,350000,80000,0,10000,440000,69,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"(40, 80]",4
1999,210000,50000,0,0,260000,43,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"(40, 80]",4
2000,180000,40000,0,0,220000,34,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"(20, 40]",3
2000,650000,150000,190000,10000,1000000,44,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"(40, 80]",4
1998,460000,960000,90000,80000,1600000,23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"(20, 40]",3
1998,450000,330000,290000,30000,1100000,95,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"(80, 140]",5
1997,110000,130000,0,10000,250000,24,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"(20, 40]",3
1997,160000,300000,0,30000,490000,32,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"(20, 40]",3
1999,40000,10000,0,0,50000,126,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"(80, 140]",5
1998,130000,30000,0,0,160000,22,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"(20, 40]",3
1999,90000,20000,0,0,110000,69,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"(40, 80]",4
